Zero at 1, d_k = 1, post_zero = 1, old? False
Zero at 3, d_k = 2, post_zero = 2, old? False
Zero at 5, d_k = 2, post_zero = 2, old? True
Zero at 10, d_k = 5, post_zero = 5, old? False
Zero at 12, d_k = 2, post_zero = 2, old? True
Zero at 17, d_k = 5, post_zero = 5, old? True
Zero at 20, d_k = 3, post_zero = 3, old? True
Zero at 24, d_k = 4, post_zero = 4, old? True
Zero at 30, d_k = 6, post_zero = 6, old? True
Zero at 35, d_k = 5, post_zero = 5, old? True
Zero at 41, d_k = 6, post_zero = 6, old? True
Zero at 44, d_k = 3, post_zero = 3, old? True
Zero at 47, d_k = 3, post_zero = 3, old? True
Zero at 52, d_k = 5, post_zero = 5, old? True
Zero at 56, d_k = 4, post_zero = 4, old? True
Zero at 59, d_k = 3, post_zero = 3, old? True
Zero at 63, d_k = 4, post_zero = 4, old? True
Zero at 66, d_k = 3, post_zero = 3, old? True
Zero at 72, d_k = 6, post_zero = 6, old? True
Zero at 81, d_k = 9, post_zero = 9, old? True
Zero at 84, d_k = 3, post_zero = 3, old? True
Zero at 89, d_k = 5, post_zero = 5, old? True
Zero at 92, d_k = 3, post_zero = 3, old? True
Zero at 98, d_k = 6, post_zero = 6, old? True
Zero at 101, d_k = 3, post_zero = 3, old? True
Zero at 105, d_k = 4, post_zero = 4, old? True
Zero at 110, d_k = 5, post_zero = 5, old? True
Zero at 116, d_k = 6, post_zero = 6, old? True
Zero at 121, d_k = 5, post_zero = 5, old? True
Zero at 125, d_k = 4, post_zero = 4, old? True
Zero at 129, d_k = 4, post_zero = 4, old? True
Zero at 134, d_k = 5, post_zero = 5, old? True
Zero at 138, d_k = 4, post_zero = 4, old? True
Zero at 142, d_k = 4, post_zero = 4, old? True
Zero at 148, d_k = 6, post_zero = 6, old? True
Zero at 152, d_k = 4, post_zero = 4, old? True
Zero at 156, d_k = 4, post_zero = 4, old? True
Zero at 162, d_k = 6, post_zero = 6, old? True
Zero at 168, d_k = 6, post_zero = 6, old? True
Zero at 173, d_k = 5, post_zero = 5, old? True
Zero at 179, d_k = 6, post_zero = 6, old? True
Zero at 183, d_k = 4, post_zero = 4, old? True
Zero at 187, d_k = 4, post_zero = 4, old? True
Zero at 196, d_k = 9, post_zero = 9, old? True
Zero at 199, d_k = 3, post_zero = 3, old? True
Zero at 202, d_k = 3, post_zero = 3, old? True
Zero at 208, d_k = 6, post_zero = 6, old? True
Zero at 212, d_k = 4, post_zero = 4, old? True
Zero at 215, d_k = 3, post_zero = 3, old? True
Zero at 225, d_k = 10, post_zero = 10, old? True
Zero at 228, d_k = 3, post_zero = 3, old? True
Zero at 232, d_k = 4, post_zero = 4, old? True
Zero at 236, d_k = 4, post_zero = 4, old? True
Zero at 242, d_k = 6, post_zero = 6, old? True
Zero at 246, d_k = 4, post_zero = 4, old? True
Zero at 251, d_k = 5, post_zero = 5, old? True
Zero at 254, d_k = 3, post_zero = 3, old? True
Zero at 257, d_k = 3, post_zero = 3, old? True
Zero at 263, d_k = 6, post_zero = 6, old? True
Zero at 269, d_k = 6, post_zero = 6, old? True
Zero at 276, d_k = 7, post_zero = 7, old? True
Zero at 279, d_k = 3, post_zero = 3, old? True
Zero at 284, d_k = 5, post_zero = 5, old? True
Zero at 288, d_k = 4, post_zero = 4, old? True
Zero at 293, d_k = 5, post_zero = 5, old? True
Zero at 297, d_k = 4, post_zero = 4, old? True
Zero at 303, d_k = 6, post_zero = 6, old? True
Zero at 309, d_k = 6, post_zero = 6, old? True
Zero at 315, d_k = 6, post_zero = 6, old? True
Zero at 320, d_k = 5, post_zero = 5, old? True
Zero at 324, d_k = 4, post_zero = 4, old? True
Zero at 330, d_k = 6, post_zero = 6, old? True
Zero at 334, d_k = 4, post_zero = 4, old? True
Zero at 338, d_k = 4, post_zero = 4, old? True
Zero at 344, d_k = 6, post_zero = 6, old? True
Zero at 348, d_k = 4, post_zero = 4, old? True
Zero at 353, d_k = 5, post_zero = 5, old? True
Zero at 357, d_k = 4, post_zero = 4, old? True
Zero at 364, d_k = 7, post_zero = 7, old? True
Zero at 367, d_k = 3, post_zero = 3, old? True
Zero at 371, d_k = 4, post_zero = 4, old? True
Zero at 376, d_k = 5, post_zero = 5, old? True
Zero at 380, d_k = 4, post_zero = 4, old? True
Zero at 388, d_k = 8, post_zero = 8, old? True
Zero at 398, d_k = 10, post_zero = 10, old? True
Zero at 401, d_k = 3, post_zero = 3, old? True
Zero at 406, d_k = 5, post_zero = 5, old? True
Zero at 411, d_k = 5, post_zero = 5, old? True
Zero at 417, d_k = 6, post_zero = 6, old? True
Zero at 420, d_k = 3, post_zero = 3, old? True
Zero at 428, d_k = 8, post_zero = 8, old? True
Zero at 432, d_k = 4, post_zero = 4, old? True
Zero at 436, d_k = 4, post_zero = 4, old? True
Zero at 442, d_k = 6, post_zero = 6, old? True
Zero at 449, d_k = 7, post_zero = 7, old? True
Zero at 455, d_k = 6, post_zero = 6, old? True
Zero at 461, d_k = 6, post_zero = 6, old? True
Zero at 471, d_k = 10, post_zero = 10, old? True
Zero at 475, d_k = 4, post_zero = 4, old? True
Zero at 479, d_k = 4, post_zero = 4, old? True
Zero at 487, d_k = 8, post_zero = 8, old? True
Zero at 490, d_k = 3, post_zero = 3, old? True
Zero at 494, d_k = 4, post_zero = 4, old? True
Zero at 498, d_k = 4, post_zero = 4, old? True
Zero at 504, d_k = 6, post_zero = 6, old? True
Zero at 508, d_k = 4, post_zero = 4, old? True
Zero at 512, d_k = 4, post_zero = 4, old? True
Zero at 519, d_k = 7, post_zero = 7, old? True
Zero at 524, d_k = 5, post_zero = 5, old? True
Zero at 528, d_k = 4, post_zero = 4, old? True
Zero at 532, d_k = 4, post_zero = 4, old? True
Zero at 539, d_k = 7, post_zero = 7, old? True
Zero at 545, d_k = 6, post_zero = 6, old? True
Zero at 548, d_k = 3, post_zero = 3, old? True
Zero at 553, d_k = 5, post_zero = 5, old? True
Zero at 557, d_k = 4, post_zero = 4, old? True
Zero at 561, d_k = 4, post_zero = 4, old? True
Zero at 568, d_k = 7, post_zero = 7, old? True
Zero at 578, d_k = 10, post_zero = 10, old? True
Zero at 581, d_k = 3, post_zero = 3, old? True
Zero at 585, d_k = 4, post_zero = 4, old? True
Zero at 589, d_k = 4, post_zero = 4, old? True
Zero at 595, d_k = 6, post_zero = 6, old? True
Zero at 599, d_k = 4, post_zero = 4, old? True
Zero at 605, d_k = 6, post_zero = 6, old? True
Zero at 611, d_k = 6, post_zero = 6, old? True
Zero at 617, d_k = 6, post_zero = 6, old? True
Zero at 621, d_k = 4, post_zero = 4, old? True
Zero at 628, d_k = 7, post_zero = 7, old? True
Zero at 632, d_k = 4, post_zero = 4, old? True
Zero at 636, d_k = 4, post_zero = 4, old? True
Zero at 642, d_k = 6, post_zero = 6, old? True
Zero at 649, d_k = 7, post_zero = 7, old? True
Zero at 656, d_k = 7, post_zero = 7, old? True
Zero at 662, d_k = 6, post_zero = 6, old? True
Zero at 667, d_k = 5, post_zero = 5, old? True
Zero at 670, d_k = 3, post_zero = 3, old? True
Zero at 673, d_k = 3, post_zero = 3, old? True
Zero at 681, d_k = 8, post_zero = 8, old? True
Zero at 685, d_k = 4, post_zero = 4, old? True
Zero at 689, d_k = 4, post_zero = 4, old? True
Zero at 695, d_k = 6, post_zero = 6, old? True
Zero at 699, d_k = 4, post_zero = 4, old? True
Zero at 705, d_k = 6, post_zero = 6, old? True
Zero at 709, d_k = 4, post_zero = 4, old? True
Zero at 715, d_k = 6, post_zero = 6, old? True
Zero at 726, d_k = 11, post_zero = 11, old? True
Zero at 730, d_k = 4, post_zero = 4, old? True
Zero at 735, d_k = 5, post_zero = 5, old? True
Zero at 738, d_k = 3, post_zero = 3, old? True
Zero at 742, d_k = 4, post_zero = 4, old? True
Zero at 746, d_k = 4, post_zero = 4, old? True
Zero at 752, d_k = 6, post_zero = 6, old? True
Zero at 757, d_k = 5, post_zero = 5, old? True
Zero at 761, d_k = 4, post_zero = 4, old? True
Zero at 766, d_k = 5, post_zero = 5, old? True
Zero at 772, d_k = 6, post_zero = 6, old? True
Zero at 776, d_k = 4, post_zero = 4, old? True
Zero at 780, d_k = 4, post_zero = 4, old? True
Zero at 786, d_k = 6, post_zero = 6, old? True
Zero at 792, d_k = 6, post_zero = 6, old? True
Zero at 799, d_k = 7, post_zero = 7, old? True
Zero at 802, d_k = 3, post_zero = 3, old? True
Zero at 810, d_k = 8, post_zero = 8, old? True
Zero at 813, d_k = 3, post_zero = 3, old? True
Zero at 820, d_k = 7, post_zero = 7, old? True
Zero at 824, d_k = 4, post_zero = 4, old? True
Zero at 828, d_k = 4, post_zero = 4, old? True
Zero at 838, d_k = 10, post_zero = 10, old? True
Zero at 841, d_k = 3, post_zero = 3, old? True
Zero at 845, d_k = 4, post_zero = 4, old? True
Zero at 849, d_k = 4, post_zero = 4, old? True
Zero at 856, d_k = 7, post_zero = 7, old? True
Zero at 860, d_k = 4, post_zero = 4, old? True
Zero at 867, d_k = 7, post_zero = 7, old? True
Zero at 872, d_k = 5, post_zero = 5, old? True
Zero at 876, d_k = 4, post_zero = 4, old? True
